food_code,Product_Name,Prep_Time_min,Calories_kcal,Sodium_mg,SatFat_g,TotalSugar_g,Category,Price_USD
58146683,"Pasta, whole grain, with cream sauce, ready-to-heat",10.0,407.5,1005.0,10.95,2.0250000000000004,Macaroni and Pasta,0.7798725
58146392,"Pasta with cream sauce and added vegetables, from home recipe",10.0,352.5,510.0,8.092500000000001,2.475,Macaroni and Pasta,0.7819575
72202010,Broccoli casserole with noodles,3.0,280.0,465.0,4.327500000000001,3.35,Instant Noodles and Soups,0.7870625
58146315,"Pasta with sauce and meat, from school lunch",10.0,292.5,292.5,2.0774999999999997,6.825,Macaroni and Pasta,0.7947500000000001
58146210,"Pasta with sauce, NFS",10.0,312.5,497.5,1.85,6.1,Macaroni and Pasta,0.799275
73102212,"Carrots, frozen, cooked, no added fat",5.0,97.5,455.0,0.0,10.475000000000001,Frozen and Ready Meals,0.80396
92102020,"Frozen mocha coffee drink, with non-dairy milk",5.0,145.0,97.5,0.21250000000000002,27.200000000000003,Frozen and Ready Meals,0.814905
27242300,Chicken or turkey and noodles with cream or white sauce,3.0,350.0,857.5,4.7575,3.95,Instant Noodles and Soups,0.8239299999999999
58146692,"Pasta, whole grain, with cream sauce, and added vegetables, home recipe",10.0,340.0,515.0,8.18,2.7,Macaroni and Pasta,0.8274375
75223022,"Blackeyed peas, from frozen",5.0,377.5,315.0,2.09,10.8,Frozen and Ready Meals,0.8283750000000001
58146391,"Pasta with cream sauce and added vegetables, restaurant",10.0,477.5,1297.5,9.755,2.275,Macaroni and Pasta,0.8291525
27242000,"Chicken or turkey and noodles, no sauce",3.0,370.0,882.5,2.605,0.625,Instant Noodles and Soups,0.835935
11460500,"Frozen yogurt, soft serve, vanilla",5.0,397.5,217.5,8.55,60.0,Frozen and Ready Meals,0.8374425000000001
11459990,"Frozen yogurt, NFS",5.0,317.5,157.5,5.815,49.800000000000004,Frozen and Ready Meals,0.8382449999999999
58146652,"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, home recipe",10.0,277.5,402.5,0.8875,5.825,Macaroni and Pasta,0.8404325
58146351,"Pasta with tomato-based sauce, poultry, and added vegetables, restaurant",10.0,422.5,867.5,3.035,5.175,Macaroni and Pasta,0.841885
